"subj" "item" "rt" "dist" "distance" "pred" "predability"
"60" 4 6 568 -1 "short" -1 "predictable"
"94" 4 17 517 1 "long" 1 "unpredictable"
"146" 4 22 675 -1 "short" -1 "predictable"
"185" 4 5 575 1 "long" 1 "unpredictable"
"215" 4 3 581 1 "long" -1 "predictable"
"285" 4 7 1171 1 "long" -1 "predictable"
"324" 4 36 663 -1 "short" 1 "unpredictable"
"368" 4 16 449 -1 "short" 1 "unpredictable"
"429" 4 14 418 -1 "short" -1 "predictable"
"506" 4 31 439 1 "long" -1 "predictable"
"545" 4 34 560 -1 "short" -1 "predictable"
"602" 4 13 483 1 "long" 1 "unpredictable"
"660" 4 9 532 1 "long" 1 "unpredictable"
"687" 4 12 553 -1 "short" 1 "unpredictable"
"728" 4 10 515 -1 "short" -1 "predictable"
"762" 4 19 440 1 "long" -1 "predictable"
"804" 4 26 443 -1 "short" -1 "predictable"
"834" 4 2 481 -1 "short" -1 "predictable"
"861" 4 32 520 -1 "short" 1 "unpredictable"
"884" 4 23 462 1 "long" -1 "predictable"
"940" 4 21 442 1 "long" 1 "unpredictable"
"983" 4 8 1084 -1 "short" 1 "unpredictable"
"1023" 4 28 941 -1 "short" 1 "unpredictable"
"1066" 4 35 471 1 "long" -1 "predictable"
"1122" 4 29 486 1 "long" 1 "unpredictable"
"1159" 4 11 401 1 "long" -1 "predictable"
"1180" 4 24 460 -1 "short" 1 "unpredictable"
"1219" 4 18 411 -1 "short" -1 "predictable"
"1264" 4 25 398 1 "long" 1 "unpredictable"
"1287" 4 4 416 -1 "short" 1 "unpredictable"
"1330" 4 30 412 -1 "short" -1 "predictable"
"1358" 4 1 456 1 "long" 1 "unpredictable"
"1418" 4 33 590 1 "long" 1 "unpredictable"
"1451" 4 20 396 -1 "short" 1 "unpredictable"
"1478" 4 15 359 1 "long" -1 "predictable"
"1518" 4 27 322 1 "long" -1 "predictable"
"1660" 5 3 658 -1 "short" 1 "unpredictable"
"1704" 5 29 1101 -1 "short" -1 "predictable"
"1746" 5 31 3409 -1 "short" 1 "unpredictable"
"1796" 5 11 1169 -1 "short" 1 "unpredictable"
"1828" 5 16 813 1 "long" 1 "unpredictable"
"1897" 5 26 674 1 "long" -1 "predictable"
"1939" 5 2 910 1 "long" -1 "predictable"
"1985" 5 10 655 1 "long" -1 "predictable"
"2007" 5 1 1009 -1 "short" -1 "predictable"
"2033" 5 4 905 1 "long" 1 "unpredictable"
"2057" 5 12 825 1 "long" 1 "unpredictable"
"2079" 5 19 1005 -1 "short" 1 "unpredictable"
"2107" 5 8 1311 1 "long" 1 "unpredictable"
"2148" 5 5 935 -1 "short" -1 "predictable"
"2185" 5 20 702 1 "long" 1 "unpredictable"
"2236" 5 32 882 1 "long" 1 "unpredictable"
"2272" 5 35 3736 -1 "short" 1 "unpredictable"
"2297" 5 34 1097 1 "long" -1 "predictable"
"2371" 5 7 1295 -1 "short" 1 "unpredictable"
"2402" 5 23 1562 -1 "short" 1 "unpredictable"
"2454" 5 36 728 1 "long" 1 "unpredictable"
"2500" 5 14 740 1 "long" -1 "predictable"
"2551" 5 6 1005 1 "long" -1 "predictable"
"2589" 5 33 1132 -1 "short" -1 "predictable"
"2655" 5 13 845 -1 "short" -1 "predictable"
"2678" 5 27 627 -1 "short" 1 "unpredictable"
"2720" 5 25 893 -1 "short" -1 "predictable"
"2797" 5 17 1125 -1 "short" -1 "predictable"
"2818" 5 21 1056 -1 "short" -1 "predictable"
"2838" 5 9 694 -1 "short" -1 "predictable"
"2867" 5 15 750 -1 "short" 1 "unpredictable"
"2895" 5 24 480 1 "long" 1 "unpredictable"
"2931" 5 30 888 1 "long" -1 "predictable"
"2977" 5 28 1139 1 "long" 1 "unpredictable"
"3022" 5 18 558 1 "long" -1 "predictable"
"3060" 5 22 522 1 "long" -1 "predictable"
"3196" 6 7 1693 1 "long" 1 "unpredictable"
"3223" 6 4 444 -1 "short" -1 "predictable"
"3284" 6 21 1052 1 "long" -1 "predictable"
"3328" 6 32 1711 -1 "short" -1 "predictable"
"3363" 6 17 403 1 "long" -1 "predictable"
"3428" 6 13 454 1 "long" -1 "predictable"
"3455" 6 3 410 1 "long" 1 "unpredictable"
"3484" 6 36 356 -1 "short" -1 "predictable"
"3536" 6 24 417 -1 "short" -1 "predictable"
"3594" 6 8 532 -1 "short" -1 "predictable"
"3621" 6 9 1473 1 "long" -1 "predictable"
"3653" 6 25 433 1 "long" -1 "predictable"
"3682" 6 22 563 -1 "short" 1 "unpredictable"
"3720" 6 20 487 -1 "short" -1 "predictable"
"3770" 6 34 519 -1 "short" 1 "unpredictable"
"3829" 6 16 363 -1 "short" -1 "predictable"
"3857" 6 2 385 -1 "short" 1 "unpredictable"
"3890" 6 6 384 -1 "short" 1 "unpredictable"
"3918" 6 11 455 1 "long" 1 "unpredictable"
"4016" 6 33 422 1 "long" -1 "predictable"
"4062" 6 1 396 1 "long" -1 "predictable"
"4083" 6 14 388 -1 "short" 1 "unpredictable"
"4111" 6 29 438 1 "long" -1 "predictable"
"4147" 6 35 401 1 "long" 1 "unpredictable"
"4204" 6 5 800 1 "long" -1 "predictable"
"4230" 6 19 488 1 "long" 1 "unpredictable"
"4264" 6 12 261 -1 "short" -1 "predictable"
"4307" 6 18 359 -1 "short" 1 "unpredictable"
"4342" 6 23 1895 1 "long" 1 "unpredictable"
"4389" 6 10 432 -1 "short" 1 "unpredictable"
"4422" 6 28 421 -1 "short" -1 "predictable"
"4463" 6 26 247 -1 "short" 1 "unpredictable"
"4495" 6 30 226 -1 "short" 1 "unpredictable"
"4540" 6 15 427 1 "long" 1 "unpredictable"
"4579" 6 31 396 1 "long" 1 "unpredictable"
"4604" 6 27 531 1 "long" 1 "unpredictable"
"4788" 7 6 775 1 "long" 1 "unpredictable"
"4834" 7 33 982 -1 "short" 1 "unpredictable"
"4875" 7 10 823 1 "long" 1 "unpredictable"
"4901" 7 8 631 1 "long" -1 "predictable"
"4936" 7 27 643 -1 "short" -1 "predictable"
"4969" 7 22 691 1 "long" 1 "unpredictable"
"4996" 7 23 669 -1 "short" -1 "predictable"
"5025" 7 17 568 -1 "short" 1 "unpredictable"
"5084" 7 13 644 -1 "short" 1 "unpredictable"
"5127" 7 36 711 1 "long" -1 "predictable"
"5169" 7 5 639 -1 "short" 1 "unpredictable"
"5234" 7 7 761 -1 "short" -1 "predictable"
"5255" 7 3 664 -1 "short" -1 "predictable"
"5291" 7 21 774 -1 "short" 1 "unpredictable"
"5316" 7 12 614 1 "long" -1 "predictable"
"5396" 7 15 538 -1 "short" -1 "predictable"
"5458" 7 19 662 -1 "short" -1 "predictable"
"5492" 7 34 798 1 "long" 1 "unpredictable"
"5518" 7 26 725 1 "long" 1 "unpredictable"
"5540" 7 25 659 -1 "short" 1 "unpredictable"
